run_date,run_id,shard,searches,succeeded,failed,bot_blocked,rows,max_pages,seconds,error_types
2026-09-19,35484516831-shard0,0/3,1,1,0,0,115,5,25,
2026-09-19,35484516831-shard1,1/3,1,1,0,0,819,5,41,
2026-09-19,35484516831-shard2,2/3,1,1,0,0,135,5,17,
2026-09-20,35509908731-shard0,0/3,84,84,0,0,97194,5,5288,
2026-09-20,35509908731-shard1,1/3,84,84,0,0,90155,5,5089,
2026-09-20,35509908731-shard2,2/3,84,84,0,0,103713,5,5081,
2026-09-21,35608272467-shard0,0/3,92,91,1,0,111950,5,6162,SearchTimeoutError
2026-09-21,35608272467-shard1,1/3,92,92,0,0,109736,5,6056,
2026-09-21,35608272467-shard2,2/3,92,92,0,0,119162,5,5986,
2026-09-22,35727632828-shard0,0/3,92,92,0,0,103665,5,6582,
2026-09-22,35727632828-shard1,1/3,92,92,0,0,95325,5,7524,
2026-09-22,35727632828-shard2,2/3,92,92,0,0,103795,5,7094,
2026-09-23,35862068589-shard0,0/3,104,104,0,0,110929,5,6264,
2026-09-23,35862068589-shard1,1/3,104,104,0,0,106209,5,6117,
2026-09-23,35862068589-shard2,2/3,104,103,1,0,114704,5,6679,SearchTimeoutError
2026-09-24,36000470651-shard0,0/3,100,100,0,0,105368,5,6249,
2026-09-24,36000470651-shard1,1/3,100,99,1,0,99803,5,6058,SearchTimeoutError
2026-09-24,36000470651-shard2,2/3,100,99,1,0,112543,5,6306,SearchTimeoutError
2026-09-24,36071724037-shard0,0/3,1,1,0,0,100,1,18,
2026-09-24,36071724037-shard1,1/3,1,1,0,0,200,1,33,
2026-09-24,36071724037-shard2,2/3,1,1,0,0,119,1,30,
2026-09-25,36124213387-shard0,0/3,120,118,2,0,155805,5,8435,SearchTimeoutError
2026-09-25,36124213387-shard1,1/3,120,118,2,0,56430,5,6160,SearchTimeoutError
2026-09-25,36124213387-shard2,2/3,120,118,2,0,147098,5,8692,SearchTimeoutError
